Table 10.1 - GROSS DOMESTIC PRODUCT AND DEFLATORS USED IN THE HISTORICAL TABLES:  1940 - 2023,,,,,,,,,,,,,,,
(Fiscal Year 2009 = 1.000),,,,,,,,,,,,,,,
Fiscal Year,"GDP (in
billions of
1959,505.6,0.1717,0.1391,0.1298,0.1513,0.1716,0.1716,0.1715,0.1199,0.1717,0.1097,0.1191,0.2521,0.2532,0.2402
1960,535.1,0.1741,0.1411,0.1286,0.1579,0.1747,0.1748,0.1746,0.1204,0.1741,0.1088,0.1229,0.2540,0.2552,0.2439
1961,547.6,0.1765,0.1443,0.1309,0.1612,0.1772,0.1772,0.1771,0.1184,0.1765,0.1142,0.1295,0.2554,0.2566,0.2462
1962,586.9,0.1783,0.1445,0.1312,0.1603,0.1789,0.1789,0.1788,0.1190,0.1783,0.1164,0.1315,0.2576,0.2588,0.2484
1963,619.3,0.1805,0.1507,0.1369,0.1661,0.1810,0.1810,0.1809,0.1231,0.1805,0.1202,0.1396,0.2617,0.2632,0.2508
1964,662.9,0.1827,0.1531,0.1388,0.1679,0.1835,0.1835,0.1834,0.1251,0.1827,0.1241,0.1462,0.2621,0.2634,0.2542
1965,710.7,0.1859,0.1553,0.1386,0.1707,0.1861,0.1862,0.1860,0.1286,0.1859,0.1311,0.1523,0.2627,0.2641,0.2564
1966,781.9,0.1899,0.1596,0.1451,0.1727,0.1895,0.1895,0.1894,0.1255,0.1899,0.1356,0.1566,0.2648,0.2662,0.2576
1967,838.2,0.1957,0.1632,0.1498,0.1763,0.1946,0.1946,0.1945,0.1274,0.1957,0.1390,0.1589,0.2687,0.2698,0.2615
1968,899.3,0.2024,0.1691,0.1568,0.1813,0.2006,0.2006,0.2005,0.1319,0.2024,0.1441,0.1625,0.2746,0.2755,0.2673
1969,982.3,0.2117,0.1798,0.1657,0.1932,0.2091,0.2091,0.2090,0.1400,0.2117,0.1541,0.1747,0.2850,0.2858,0.2775
1970,"1,049.1",0.2231,0.1899,0.1742,0.2030,0.2191,0.2191,0.2190,0.1494,0.2231,0.1668,0.1855,0.2998,0.3005,0.2930
1971,"1,119.3",0.2344,0.2030,0.1853,0.2155,0.2289,0.2289,0.2288,0.1601,0.2344,0.1837,0.2031,0.3185,0.3196,0.3113
1972,"1,219.5",0.2455,0.2165,0.2031,0.2242,0.2377,0.2377,0.2376,0.1679,0.2455,0.1979,0.2164,0.3417,0.3448,0.3259
1973,"1,356.0",0.2562,0.2266,0.2176,0.2309,0.2466,0.2466,0.2465,0.1719,0.2562,0.2094,0.2289,0.3637,0.3692,0.3396
1974,"1,486.2",0.2743,0.2454,0.2325,0.2512,0.2664,0.2664,0.2663,0.1878,0.2743,0.2222,0.2422,0.3863,0.3912,0.3661
1975,"1,610.6",0.3027,0.2695,0.2533,0.2758,0.2940,0.2940,0.2939,0.2084,0.3027,0.2389,0.2586,0.4197,0.4234,0.4061
1976,"1,790.3",0.3237,0.2888,0.2696,0.2955,0.3132,0.3132,0.3131,0.2246,0.3237,0.2588,0.2814,0.4485,0.4528,0.4331
TQ,472.6,0.3334,0.2961,0.2749,0.3032,0.3230,0.3230,0.3229,0.2327,0.3334,0.2666,0.2877,0.4651,0.4722,0.4435
1977,"2,028.4",0.3470,0.3098,0.2906,0.3163,0.3366,0.3367,0.3365,0.2408,0.3470,0.2791,0.3023,0.4838,0.4913,0.4578
1978,"2,278.2",0.3703,0.3292,0.3102,0.3353,0.3594,0.3595,0.3593,0.2562,0.3703,0.2966,0.3192,0.5134,0.5238,0.4806
1979,"2,570.0",0.4001,0.3576,0.3355,0.3649,0.3892,0.3893,0.3891,0.2795,0.4001,0.3153,0.3436,0.5474,0.5581,0.5120
1980,"2,796.8",0.4349,0.3951,0.3709,0.4028,0.4302,0.4303,0.4301,0.3107,0.4349,0.3414,0.3683,0.5909,0.5996,0.5584
1981,"3,138.4",0.4775,0.4391,0.4133,0.4476,0.4720,0.4720,0.4718,0.3462,0.4775,0.3751,0.4038,0.6426,0.6507,0.6090
1982,"3,313.9",0.5103,0.4721,0.4491,0.4803,0.5011,0.5011,0.5009,0.3759,0.5103,0.3930,0.4233,0.6966,0.7045,0.6554
1983,"3,541.1",0.5327,0.4957,0.4720,0.5045,0.5241,0.5241,0.5239,0.3950,0.5327,0.4077,0.4371,0.7325,0.7410,0.6765
1984,"3,952.8",0.5515,0.5184,0.4944,0.5278,0.5444,0.5444,0.5442,0.4155,0.5515,0.4173,0.4593,0.7594,0.7700,0.6939
1985,"4,270.4",0.5698,0.5372,0.5128,0.5467,0.5637,0.5637,0.5634,0.4331,0.5698,0.4345,0.4782,0.7674,0.7773,0.7087
1986,"4,536.1",0.5828,0.5486,0.5242,0.5585,0.5783,0.5784,0.5781,0.4486,0.5828,0.4407,0.4796,0.7621,0.7686,0.7174
1987,"4,781.9",0.5958,0.5643,0.5325,0.5777,0.5930,0.5931,0.5928,0.4712,0.5958,0.4425,0.4894,0.7549,0.7592,0.7263
1988,"5,155.1",0.6151,0.5835,0.5455,0.5991,0.6155,0.6156,0.6150,0.4890,0.6151,0.4566,0.5082,0.7560,0.7575,0.7473
1989,"5,570.0",0.6396,0.6058,0.5647,0.6222,0.6425,0.6426,0.6415,0.5098,0.6396,0.4670,0.5163,0.7701,0.7698,0.7722
1990,"5,914.6",0.6627,0.6237,0.5844,0.6371,0.6682,0.6684,0.6667,0.5341,0.6627,0.4797,0.5189,0.7851,0.7839,0.7921
1991,"6,110.1",0.6862,0.6526,0.6159,0.6629,0.6943,0.6946,0.6926,0.5557,0.6862,0.5124,0.5493,0.8067,0.8054,0.8135
1992,"6,434.7",0.7030,0.6771,0.6231,0.6936,0.7122,0.7126,0.7102,0.5725,0.7030,0.5257,0.5906,0.8185,0.8179,0.8208
1993,"6,794.9",0.7197,0.6972,0.6302,0.7171,0.7306,0.7310,0.7280,0.5909,0.7197,0.5560,0.6362,0.8359,0.8366,0.8332
1994,"7,197.8",0.7354,0.7100,0.6366,0.7301,0.7459,0.7466,0.7425,0.6066,0.7354,0.5815,0.6449,0.8549,0.8570,0.8469
1995,"7,583.4",0.7510,0.7306,0.6498,0.7511,0.7618,0.7626,0.7584,0.6271,0.7510,0.6001,0.6851,0.8766,0.8788,0.8701
1996,"7,978.3",0.7650,0.7459,0.6641,0.7652,0.7771,0.7778,0.7735,0.6442,0.7650,0.6282,0.7057,0.8885,0.8925,0.8779
1997,"8,483.2",0.7785,0.7612,0.6740,0.7817,0.7927,0.7934,0.7890,0.6559,0.7785,0.6431,0.7203,0.8858,0.8888,0.8778
1998,"8,954.8",0.7881,0.7679,0.6866,0.7860,0.7999,0.8005,0.7973,0.6650,0.7881,0.6583,0.7101,0.8865,0.8887,0.8786
1999,"9,510.5",0.7981,0.7777,0.7015,0.7943,0.8092,0.8097,0.8069,0.6816,0.7981,0.6774,0.7292,0.8951,0.8992,0.8846
2000,"10,148.2",0.8147,0.7970,0.7235,0.8133,0.8283,0.8289,0.8256,0.7074,0.8147,0.7093,0.7551,0.9079,0.9108,0.9017
2001,"10,564.6",0.8342,0.8183,0.7494,0.8333,0.8468,0.8473,0.8444,0.7301,0.8342,0.7310,0.7816,0.9114,0.9115,0.9113
2002,"10,876.9",0.8477,0.8319,0.7761,0.8446,0.8568,0.8573,0.8547,0.7444,0.8477,0.7702,0.8084,0.9061,0.9041,0.9107
2003,"11,332.4",0.8639,0.8554,0.8239,0.8630,0.8740,0.8745,0.8719,0.7672,0.8639,0.8057,0.8380,0.9130,0.9118,0.9160
2004,"12,088.6",0.8853,0.8778,0.8552,0.8836,0.8930,0.8934,0.8912,0.7979,0.8853,0.8468,0.8680,0.9260,0.9250,0.9292
2005,"12,888.9",0.9131,0.9081,0.8963,0.9111,0.9180,0.9183,0.9167,0.8458,0.9131,0.8867,0.9006,0.9437,0.9423,0.9484
2006,"13,684.7",0.9428,0.9395,0.9350,0.9406,0.9457,0.9459,0.9446,0.8892,0.9428,0.9229,0.9326,0.9601,0.9593,0.9626
2007,"14,322.9",0.9684,0.9643,0.9648,0.9642,0.9659,0.9660,0.9655,0.9354,0.9684,0.9562,0.9633,0.9749,0.9744,0.9766
2008,"14,752.4",0.9885,0.9980,1.0019,0.9970,0.9999,1.0000,0.9996,0.9811,0.9885,0.9879,0.9893,0.9929,0.9921,0.9956
2009,"14,414.6",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2010,"14,798.5",1.0088,1.0157,1.0183,1.0151,1.0162,1.0163,1.0159,1.0150,1.0088,1.0320,1.0152,1.0070,1.0052,1.0127
2011,"15,379.2",1.0293,1.0395,1.0496,1.0371,1.0377,1.0378,1.0374,1.0432,1.0293,1.0686,1.0466,1.0278,1.0249,1.0361
2012,"16,027.2",1.0481,1.0603,1.0647,1.0592,1.0597,1.0597,1.0596,1.0693,1.0481,1.0839,1.0683,1.0394,1.0373,1.0459
2013,"16,515.9",1.0658,1.0740,1.0716,1.0745,1.0753,1.0753,1.0753,1.0914,1.0658,1.0921,1.0665,1.0451,1.0413,1.0558
2014,"17,243.6",1.0852,1.0905,1.0885,1.0909,1.0916,1.0916,1.0916,1.1152,1.0852,1.1289,1.0819,1.0589,1.0540,1.0746
2015,"17,982.9",1.0983,1.0972,1.0930,1.0980,1.0970,1.0970,1.0971,1.1273,1.0983,1.1414,1.1144,1.0635,1.0574,1.0802
2016,"18,469.9",1.1110,1.1065,1.0977,1.1082,1.1068,1.1067,1.1069,1.1366,1.1110,1.1546,1.1255,1.0632,1.0565,1.0829
2017,"19,177.2",1.1301,1.1277,1.1142,1.1301,1.1289,1.1288,1.1290,1.1616,1.1301,1.1745,1.1434,1.0806,1.0747,1.1015
2018 estimate,"20,029.3",1.1478,1.1516,1.1316,1.1553,1.1541,1.1541,1.1543,1.1941,1.1478,1.1929,1.1667,1.0974,1.0915,1.1188
2019 estimate,"21,003.1",1.1670,1.1729,1.1502,1.1772,1.1764,1.1763,1.1765,1.2187,1.1670,1.2128,1.1845,1.1152,1.1097,1.1375
2020 estimate,"22,068.8",1.1886,1.1967,1.1715,1.2016,1.2014,1.2014,1.2017,1.2564,1.1886,1.2353,1.2064,1.1343,1.1303,1.1585
2021 estimate,"23,193.7",1.2121,1.2230,1.1946,1.2284,1.2286,1.2286,1.2289,1.2933,1.2121,1.2597,1.2303,1.1560,1.1526,1.1814
2022 estimate,"24,368.8",1.2364,1.2500,1.2186,1.2558,1.2565,1.2565,1.2567,1.3331,1.2364,1.2849,1.2549,1.1781,1.1757,1.2051
2023 estimate,"25,605.2",1.2613,1.2778,1.2431,1.2841,1.2851,1.2851,1.2853,1.3728,1.2613,1.3108,1.2802,1.2011,1.1994,1.2294
Note: Constant dollar research and development outlays are based on the GDP (chained) price index.,,,,,,,,,,,,,,,
